"RegNo","Category1","Category2","Genre1","Genre2","Genre3","Latitude","Longitude","Name","ZipCode","Adress1","Adress2","Adress3","Adress4","BusinessTime","RegularHoliday","Tel","Email","BarrierFree","BarrierFreeOther","OfficialSite","URL","URL2","Remarks","WiFiAvailability","SSID","WiFiUseLocation","EncryptionFlag","AuthenticationFlag","FilteringFlag","ChargingOutletFlag","CarrierWiFi","PR","Access","ParkingFlag","ParkingInformation","Credit","CreditList","Photo1","Photo2","Photo3","ForeignLanguages","ForeignLanguagesOther","Gourmet","TotalSseats","PrivateRoom","Budget","Cigarette","ChildSupport","ChildSupportOther","TatamiRoom","ForeignLanguageMenu","Vegetarian","KindHotSpring","Facilities","FacilitiesOther","BathingFee","TimeToEnjoy","ExperienceFee","AccommodationFee","TypeRoom","HotSpringsFlag","HotSpringsUtilizationTime","PickUp","TVViewing","CurrencyExchange","OverseasATM","DutyFree","Delivery","Pictogram1","Pictogram2","Pictogram3","Pictogram4","Pictogram5","Pictogram6","Pictogram7","Pictogram8","Pictogram9","Pictogram10","Coupon","CouponDescription","IntroductionVideo","ElectronicData1","ElectronicData2","ElectronicData1Description","ElectronicData2Description","Notice","Halal","SearchTag","Remarks1","Remarks2","Remarks3","DispFlg","TimeStamp"
"100011","グルメ","","","","","33.195288","130.019786","旬彩料理このみ","843-0023","佐賀県","武雄市","武雄町大字富岡","7754-3","17:00～23:00","不定休","0954-23-3622","","","","","","","","1","konomi-wifi","1","1","2","2","1","","地産地消と武雄の特産料理を提供しております。お気軽にお越しください。","ＪＲ佐世保線武雄駅北口から徒歩３分<br />武雄温泉楼門から徒歩15分","1","無料","2","","100011_1.jpg","100011_2.jpg","","","","若楠ポーク岩盤焼、いのししスティック、武雄温泉レモしゃぶ鍋","40席","あり（１部屋）","2,000円～","喫煙可","","","2","","2","","","","","","","","","","","2","2","2","2","2","","toilets.png","smoking_area.png","parking.png","restaurant.png","","","","","","","","","","","","","","","","","","","","1","2017/03/31 10:39:32"
"100012","宿泊","グルメ","","","","33.266009","130.294291","ホテルマリターレ創世","840-0804","佐賀県","佐賀市","神野東","2-5-15","チェックイン 14:00<br />チェックアウト 11:00","年中無休","0952-33-5511","info@hotelsousei.jp","スロープあり／身障者用トイレ","","https://www.hotelsousei.jp/saga/","https://www.facebook.com/Souseisaga","https://twitter.com/Souseisaga","","1","sousei-Wi-Fi","2","1","1","2","1","","","ＪＲ長崎本線佐賀駅から徒歩５分","1","無料（150台）","1","VISA／Master／AMEX／Diners","100012_1.jpg","100012_2.jpg","100012_3.jpg","","","","","","","","","","2","","2","","","","","","","7,450円から","ツイン","なし","","2","2","2","2","2","","information.png","toilets.png","accessible_facility.png","hotel.png","baggage_storage.png","telephone.png","parking.png","restaurant.png","coffee_shop.png","consent.png","","","","","","","","","","","","","","1","2017/03/31 10:38:23"
"100013","宿泊","グルメ","","","","33.263974","129.868806","フォレストイン伊万里","848-0032","佐賀県","伊万里市","二里町大里甲","1704-1","24時間","年中無休","0955-23-1001","forest-inn-imari@ivy.ocn.ne.jp","スロープあり／身障者用トイレ／その他（自由記述）","車いす貸出あり（１台）、玄関からレストラン・客室までの動線で段差なし。","http://www.forest-inn-imari.com/","http://ameblo.jp/forestinnimari/","https://www.instagram.com/forestinnimari/","","1","Forest INN IMARI","2","1","2","2","1","","陶芸の里、伊万里。森の中に佇む至福の空間。木々の息吹を感じるリゾートホテル。<br />伊万里駅から車で５分という立地ながら、森林に囲まれた落ち着いた空間で、伊万里牛など厳選された食材を用いたこだわりの料理をお召し上がりいただけます。<br />宿泊者限定の温泉は源泉かけ流しのヌルヌルした泉質で「美肌の湯」と呼ばれています。<br />お祝い、法事、宴会などでご利用いただける大広間（和室、洋室）もございます。（定員30名～250名）","伊万里駅から車で５分","1","無料（240台）","1","VISA／Master／AMEX／JCB／銀聯／Diners","100013_1.jpg","100013_2.jpg","100013_3.jpg","外国人スタッフ／外国語パンフレット／その他（自由記述）","英語、韓国語、タイ語スタッフが７名常駐","伊万里牛ステーキ、ハンバーグ、カレー","61席","あり（２部屋）","昼1,200円～、夜3,000円～","分煙","お子様メニュー／その他（自由記述）","離乳食持込み可","1","英語／韓国語","1","大浴場","サウナ／その他（自由記述）","宝石温熱マット","","約１時間","","16,400円から","ツイン／和室／和洋室","あり","","2","2","2","2","1","国内配送可","toilets.png","accessible_facility.png","smoking_area.png","hotel.png","parking.png","restaurant.png","coffee_shop.png","shop.png","baggage_delivery_service.png","hotspring.png","","","","","","","","","","","","","","1","2017/03/31 10:37:10"
"100014","くらし","","","医療・健康・介護","","33.269664","130.299469","虹の薬局","840-0804","佐賀県","佐賀市","神野東","4-9-21","9:00～17:00、9:00～20:00、9:00～13:00","毎週日曜、祝祭日、８月14日、15日、12月30日～１月３日","0952-32-2077","info@saga-niji.jp","段差なし／スロープあり","","http://www.saga-niji.jp/","","","","1","niji0001","2","1","2","2","2","","当地に薬局を開業し20年、地域に根差した顔の見える薬局として活動してきました。<br />お薬の相談から介護保険の相談まで、患者・利用者のみなさんの立場に立った、親切で良い医療・介護をめざして日々奮闘しています。<br />患者・利用者のみなさんへの説明は懇切丁寧に行うことを旨としています。","ＪＲ長崎本線佐賀駅から徒歩10分","1","無料（10台）","2","","100014_1.jpg","100014_2.jpg","100014_3.jpg","","","","","","","","","","2","","2","","","","","","","","","","","2","2","2","2","2","","accessible_slope.png","pharmacy.png","","","","","","","","","","","","","","","","","","","","","","1","2017/03/28 14:33:58"
"100015","くらし","観光","","生活一般","","33.153374","130.303122","佐賀市交通局 佐賀空港接続リムジンバス","840-0812","佐賀県","佐賀市","愛敬町","4-23","5:00～23:00","年中無休","0952-23-3155","kotsu@city.saga.lg.jp","","","http://www.bus.saga.saga.jp/","","","","1","sagacitybus1、sagacitybus2、sagacitybus3","1","2","2","1","2","docomo／softbank／au","佐賀駅バスセンターと佐賀空港を結ぶリムジンバスの車内で、無料Wi-Fiがご利用いただけます。","","1","無料（４台）","2","","100015_1.jpg","","","その他（自由記述）","上海便接続バスには中国語を話せるスタッフ１名、ソウル便接続バスには韓国語を話せるスタッフ１名を配置し、佐賀駅バスセンター出発時と佐賀空港出発時にバスの案内及び乗車券の販売を行っています。<br />・日本語、英語、中国語、韓国語による行先表示<br />・日本語、英語、中国語、韓国語による車内アナウンス放送","","","","","","","","2","","2","","","","","","","","","","","2","2","2","2","2","","bus_busstop.png","no_smoking.png","","","","","","","","","","","","","","","","","","","","","","1","2017/03/28 14:35:32"
"100016","くらし","","","生活一般","","33.2476","130.207802","ヘアーサロンOASISつつみ","849-0302","佐賀県","小城市","牛津町柿樋瀬","760","8:00～18:00","月曜、第１火曜、第３日曜日","0952-66-0007","parishairmake@gmail.com","段差なし","","http://tsutsumi.sagafan.jp","","","","1","oasis","1","1","2","2","2","","","","1","無料（５台）","2","","100016_1.jpg","100016_2.jpg","","","","","","","","","","","2","","2","","","","","","","","","","","2","2","2","2","2","","accessible_facility.png","parking.png","barber.png","","","","","","","","","","","","","","","","","","","","","1","2017/03/28 14:36:47"
"100017","宿泊","温泉","","","","33.095558","129.985012","旅館 大村屋","843-0301","佐賀県","嬉野市","嬉野町大字下宿乙","848","チェックイン15:00、チェックアウト10:00","不定休","0954-43-1234","info@oomuraya.co.jp","","","http://www.oomuraya.co.jp","https://www.facebook.com/ryokanoomuraya.sp","https://twitter.com/oomuraya","","1","oomuraya","1","1","2","2","1","","創業天保元年、嬉野温泉でも一番の歴史を持ち川沿いに立つ老舗旅館。日本らしさが感じられる佇まい。温泉は大浴場の他に個室の貸切風呂も４タイプご用意しております。<br />夕食は季節感を大切にした会席料理。部屋食又は個室でのお食事が可能です。日常会話程度を話せるスタッフが１名いますが不在時はコールセンターや翻訳アプリを使用しご対応致します。","ＪＲ佐世保線武雄温泉駅からバスで30分<br />長崎自動車道嬉野インターチェンジから車で５分","1","無料","1","VISA／Master／AMEX／JCB／銀聯／Diners","100017_1.jpg","100017_2.jpg","100017_3.jpg","外国語パンフレット／看板の外国語表記","","","","","","","","","2","","2","","エステサロン／その他（自由記述）","半露天風呂つき和洋室","1,000円","","","平日12,000円から、休前日15,000円から、特日16,000円から、年末年始25,000円から","和室／和洋室","あり","15:00～21:00","2","2","2","2","2","","hotel.png","parking.png","hotspring.png","","","","","","","","","","","","","","","","","","","","","1","2017/03/28 14:43:21"
"100018","宿泊","","","","","33.449384","129.965669","ビジネス旅館 川口屋","847-0815","佐賀県","唐津市","西寺町","507-1","チェックイン16:00、チェックアウト10:00","年中無休","0955-72-3620","","","","http://www.kcity-server.com/karatsu/kawaguchi/","","","","1","","1","1","1","1","1","docomo／softbank／au","市内の中心地に近く、交通の便も良いです。<br />朝食も和食中心で長期滞在の方に人気があります。","ＪＲ唐津駅から徒歩10分<br />バスターミナルから徒歩８分","1","無料（10台）","2","","100018_1.jpg","","","","","","","","","","","","1","","2","","その他（自由記述）","お好み焼き鉄板焼き くうた","","","","3,800円から","和室","なし","","2","2","2","2","2","","tatami.png","","","","","","","","","","","","","","","","","","","","","","","1","2017/03/28 14:48:49"
"100020","観光","","","","","33.431827","130.256744","ボートハウス シノハラ","842-0303","佐賀県","佐賀市","三瀬村杠","789-3","7:00～17:00","不定休","0952-56-2062","kitayamako@outlook.jp","","","http://hokuzan.ec-net.jp/","","","","1","sinoharafree","2","2","2","2","1","","北山湖のレンタルボート店です。四季を通じて北山湖での釣りをサポートします。<br />春から秋はブラックバス、冬は１１月から２月でワカサギ釣り。各種ボートをそろえて、スタッフが釣り情報とともにサポートします。<br />初心者の方も安心して釣りにチャレンジして下さい。","ＪＲ長崎本線佐賀駅より国道263号を北上40分。<br />福岡方面からは三瀬トンネルを越えて10分。","1","無料（20台）","2","","100020_1.jpg","100020_2.jpg","100020_3.jpg","","","","","","","","","","2","","2","","","","","","","","","","","2","2","2","2","2","","toilets.png","smoking_area.png","parking.png","","","","","","","","","","","","","","","","","","","","","1","2017/03/28 14:50:06"
"100021","くらし","","","医療・健康・介護","","33.154341","130.12565","医療法人醇和会 有島病院","849-1203","佐賀県","杵島郡","白石町大字戸ヶ里","2352-3","8:30～17:30","土曜日（12:30以降）、日曜日、祝祭日","0954-65-4100","ari-2@cableone.ne.jp","スロープあり／身障者等用駐車場／身障者用トイレ","","http://arishima-hp.com","","","","1","FreeSpot","2","2","2","2","2","docomo／softbank／au","有島病院では「医療・看護・介護と通じて集う人々の幸せを願い、プロ意識を持って地域と共に歩みます」を理念とし患者様、利用者様と職員が繋がるよう努めております。<br />【診療科目】循環器内科、腎臓内科、消化器内科、漢方内科、リハビリテーション科（PT、OT、ST）<br />【介護保険】介護療養型医療施設、通所リハビリテーション、通所介護、訪問リハビリテーション、居宅介護支援、小規模多機能型居宅介護","祐徳バス廻里津バス停から徒歩１分","1","無料（20台）","2","","100021_1.jpg","100021_2.jpg","","","","","","","","","","","2","","2","","","","","","","","","","","2","2","2","2","2","","hospital.png","toilets.png","accessible_facility.png","accessible_slope.png","parking.png","","","","","","","","","","","","","","","","","","","1","2017/03/28 15:00:54"
"100022","買い物","グルメ","","","","33.406485","130.511637","鳥栖プレミアム・アウトレット","841-0005","佐賀県","鳥栖市","弥生が丘","8-1","10:00～20:00","年１回（２月第３木曜日）","0942-87-7370","","スロープあり／身障者等用駐車場／身障者用トイレ／身障者オストメイト","","http://www.premiumoutlets.co.jp/tosu/","https://www.facebook.com/tpremiumoutlets","http://www.premiumoutlets.co.jp/wsr_photos/","","1","PremiumOutletsJP","2","2","2","2","1","docomo／softbank","国内外の著名ブランド約150 店舗が揃う九州最大のアウトレットセンターです。<br />さわやかな空気と明るい陽光が似合うカリフォルニア州南部の美しい街をイメージした、スパニッシュ・コロニアルスタイルの施設内で、アウトレットショッピングをお楽しみいただけます。","ＪＲ鳥栖駅より路線バスで約15 分<br />西鉄小郡駅より路線バスで約20 分<br />西鉄天神高速バスターミナルより約45 分（西鉄高速バス）","1","無料","1","VISA／Master／AMEX／JCB／銀聯／Diners","100022_1.jpg","100022_2.jpg","","外国語メニュー／外国語パンフレット／看板の外国語表記／その他（自由記述）","その他","みつせ鶏、どぶ漬けから揚げ","500席以上","","","分煙","お子様メニュー／授乳室／キッズスペース／オムツ交換スペース","","2","","2","","","","","","","","","","","2","2","1","1","1","国内配送可","toilets.png","accessible_facility.png","coin_lockers.png","cash_service.png","bus_busstop.png","parking.png","restaurant.png","coffee_shop.png","shop.png","consent.png","","","","","","","","","","","","","","1","2017/03/28 15:07:25"
"100023","くらし","","","医療・健康・介護","","33.247519","130.323252","矢ヶ部医院","840-0015","佐賀県","佐賀市","木原3-2-11","","（午前の診察）月～金　9:00～12:00　土　9:00～13:00<br />（午後の診察）月～水、金　15:30～18:00","木曜、土曜の午後、日曜祝日、8/13～8/15、12/30～1/3","0952-29-6121","miyachi@yakabe-iin.or.jp","スロープあり／身障者用トイレ","","http://www.yakabe-iin.or.jp","","","","1","yakabe-free","2","1","2","2","2","","消化器外科を中心として、外傷、生活習慣病、肝炎、腰痛、関節痛、がんなどの診療を行っております。<br />特定健診など検診、禁煙外来も行っています。","佐賀市営バス 矢ヶ部医院前停留所下車徒歩１分","1","無料（15台以上）","2","","100023_1.jpg","100023_2.jpg","100023_3.jpg","","","","","","","","","","2","","2","","","","","","","","","","","2","2","2","2","2","","hospital.png","bus_busstop.png","parking.png","","","","","","","","","","","","","","","","","","","","","1","2017/03/28 15:09:10"
"100024","宿泊","グルメ","","","","33.372010","130.208061","鶴の恩返し よみがえりの宿 鶴霊泉","840-0501","佐賀県","佐賀市","富士町大字古湯","875","チェックイン15:00、チェックアウト10:00（宿泊フロント）","不定休","0952-58-2021","kakureisen@b2.bunbun.ne.jp","","","http://kakureisen.com","http://blog.kakureisen.com/","","","1","kakureisen-guest","1","2","2","2","1","","当館は全国でも珍しい足元湧出泉の天然砂湯が名物です。浴槽の下に砂が敷き詰められ砂下の岩盤から新鮮な温泉が自噴している特徴ある温泉です。源泉の温度は３７℃ほどでとろりとした肌触りのお湯となっており「ぬる湯」と呼ばれております。<br />お料理も地元食材をふんだんに使用し、ライトアップされた食事処で目と舌の両方を楽しんでいただけます。","ＪＲ長崎本線佐賀駅からバスで50分、古湯温泉バス停下車徒歩３分","1","無料（４台、近隣15台）","1","VISA／Master／AMEX／JCB／Diners","100024_1.jpg","100024_2.jpg","100024_3.jpg","","","","","","","","お子様メニュー","","1","","1","","マッサージ","","大人1,000円、こども500円","","","13,000円から","和室","あり／立ち寄り湯あり","10:00～14:00（最終受付）","1","2","2","2","2","国内配送可","toilets.png","accessible_facility.png","smoking_area.png","hotel.png","bus_busstop.png","parking.png","restaurant.png","hotspring.png","consent.png","tatami.png","","","","","","","","","","","","","","1","2017/03/28 15:10:35"
